Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,num_data_tested,task_instruction,format_instruction,ftrr,scenario
,55,200111,0,gpt-3.5-turbo,2,0.74,0.74,0.0,1.55,10.0,template1,format_instruction1,0.0,zeroshot_fi
,56,201000,0,gpt-4-0314,3,0.81,0.81,0.0,1.21,10.0,template0,format_instruction0,0.0,zeroshot_fi
,57,201001,0,gpt-3.5-turbo,3,0.73,0.73,0.0,1.07,10.0,template0,format_instruction0,0.0,zeroshot_fi
,58,201010,0,gpt-4-0314,3,0.83,0.83,0.0,1.16,10.0,template0,format_instruction1,0.0,zeroshot_fi
,59,201011,0,gpt-3.5-turbo,3,0.75,0.75,0.0,1.08,10.0,template0,format_instruction1,0.0,zeroshot_fi
,60,201100,0,gpt-4-0314,3,0.79,0.79,0.0,1.21,10.0,template1,format_instruction0,0.0,zeroshot_fi
,61,201101,0,gpt-3.5-turbo,3,0.72,0.72,0.0,1.07,10.0,template1,format_instruction0,0.0,zeroshot_fi
,62,201110,0,gpt-4-0314,3,0.83,0.83,0.0,1.15,10.0,template1,format_instruction1,0.0,zeroshot_fi
,63,201111,0,gpt-3.5-turbo,3,0.75,0.75,0.0,1.19,10.0,template1,format_instruction1,0.0,zeroshot_fi
,64,202000,0,gpt-4-0314,4,0.79,0.79,0.0,1.1,10.0,template0,format_instruction0,0.0,zeroshot_fi
,65,202001,0,gpt-3.5-turbo,4,0.76,0.76,0.0,1.07,10.0,template0,format_instruction0,0.0,zeroshot_fi
,66,202010,0,gpt-4-0314,4,0.81,0.81,0.0,1.1,10.0,template0,format_instruction1,0.0,zeroshot_fi
,67,202011,0,gpt-3.5-turbo,4,0.71,0.71,0.0,1.1,10.0,template0,format_instruction1,0.0,zeroshot_fi
,68,202100,0,gpt-4-0314,4,0.82,0.82,0.0,1.09,10.0,template1,format_instruction0,0.0,zeroshot_fi
,69,202101,0,gpt-3.5-turbo,4,0.71,0.71,0.0,1.07,10.0,template1,format_instruction0,0.0,zeroshot_fi
,70,202110,0,gpt-4-0314,4,0.82,0.82,0.0,1.11,10.0,template1,format_instruction1,0.0,zeroshot_fi
,71,202111,0,gpt-3.5-turbo,4,0.74,0.74,0.0,1.12,10.0,template1,format_instruction1,0.0,zeroshot_fi
