Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,task_instruction,format_instruction,wrong_rate,scenario
,16,02000,1,gpt-4-0314,4,0.83,0.83,0.0,0.95,template0,format_instruction0,0.17,fewshot_fi
,17,02001,1,gpt-3.5-turbo,4,0.47,0.47,0.0,1.0,template0,format_instruction0,0.53,fewshot_fi
,18,02010,1,gpt-4-0314,4,0.77,0.77,0.0,0.96,template0,format_instruction1,0.23,fewshot_fi
,19,02011,1,gpt-3.5-turbo,4,0.4,0.4,0.0,1.04,template0,format_instruction1,0.6,fewshot_fi
,20,02100,1,gpt-4-0314,4,0.87,0.87,0.0,0.95,template1,format_instruction0,0.13,fewshot_fi
,21,02101,1,gpt-3.5-turbo,4,0.57,0.57,0.0,1.06,template1,format_instruction0,0.43,fewshot_fi
,22,02110,1,gpt-4-0314,4,0.8,0.8,0.0,0.94,template1,format_instruction1,0.2,fewshot_fi
,23,02111,1,gpt-3.5-turbo,4,0.47,0.47,0.0,0.98,template1,format_instruction1,0.53,fewshot_fi
,24,10000,3,gpt-4-0314,2,0.8,0.8,0.0,0.95,template0,format_instruction0,0.2,fewshot_fi
,25,10001,3,gpt-3.5-turbo,2,0.7,0.81,0.13,1.23,template0,format_instruction0,0.17,fewshot_fi
,26,10010,3,gpt-4-0314,2,0.77,0.77,0.0,0.95,template0,format_instruction1,0.23,fewshot_fi
,27,10011,3,gpt-3.5-turbo,2,0.73,0.88,0.17,3.39,template0,format_instruction1,0.1,fewshot_fi
,28,10100,3,gpt-4-0314,2,0.87,0.87,0.0,0.96,template1,format_instruction0,0.13,fewshot_fi
,29,10101,3,gpt-3.5-turbo,2,0.3,0.64,0.53,1.2,template1,format_instruction0,0.17,fewshot_fi
,30,10110,3,gpt-4-0314,2,0.8,0.8,0.0,0.95,template1,format_instruction1,0.2,fewshot_fi
,31,10111,3,gpt-3.5-turbo,2,0.33,0.62,0.47,1.22,template1,format_instruction1,0.2,fewshot_fi
,32,11000,3,gpt-4-0314,3,0.87,0.87,0.0,0.96,template0,format_instruction0,0.13,fewshot_fi
,33,11001,3,gpt-3.5-turbo,3,0.53,0.76,0.3,5.86,template0,format_instruction0,0.17,fewshot_fi
,34,11010,3,gpt-4-0314,3,0.87,0.87,0.0,0.96,template0,format_instruction1,0.13,fewshot_fi
,35,11011,3,gpt-3.5-turbo,3,0.67,0.71,0.07,8.1,template0,format_instruction1,0.27,fewshot_fi
,36,11100,3,gpt-4-0314,3,0.8,0.8,0.0,0.94,template1,format_instruction0,0.2,fewshot_fi
,37,11101,3,gpt-3.5-turbo,3,0.2,0.55,0.63,4.03,template1,format_instruction0,0.17,fewshot_fi
,38,11110,3,gpt-4-0314,3,0.8,0.8,0.0,0.94,template1,format_instruction1,0.2,fewshot_fi
,39,11111,3,gpt-3.5-turbo,3,0.33,0.62,0.47,5.05,template1,format_instruction1,0.2,fewshot_fi
,40,12000,3,gpt-4-0314,4,0.83,0.83,0.0,0.95,template0,format_instruction0,0.17,fewshot_fi
,41,12001,3,gpt-3.5-turbo,4,0.77,0.85,0.1,2.26,template0,format_instruction0,0.13,fewshot_fi
,42,12010,3,gpt-4-0314,4,0.8,0.8,0.0,0.95,template0,format_instruction1,0.2,fewshot_fi
,43,12011,3,gpt-3.5-turbo,4,0.77,0.79,0.03,4.43,template0,format_instruction1,0.2,fewshot_fi
,44,12100,3,gpt-4-0314,4,0.8,0.8,0.0,0.93,template1,format_instruction0,0.2,fewshot_fi
,45,12101,3,gpt-3.5-turbo,4,0.53,0.57,0.07,2.21,template1,format_instruction0,0.4,fewshot_fi
,46,12110,3,gpt-4-0314,4,0.77,0.77,0.0,0.96,template1,format_instruction1,0.23,fewshot_fi
,47,12111,3,gpt-3.5-turbo,4,0.6,0.62,0.03,2.73,template1,format_instruction1,0.37,fewshot_fi
