Unnamed: 0,index,digit,num_example,input_template,fewshot_label,model,special_case,accuracy,correct_ratio,unknown_rate,wrong_rate,f1,fewshot_format
,21,130,10,,true_label,gpt-3.5-turbo,,0.79,0.81,0.02,0.19,0.8,template1
,22,131,10,,space,gpt-3.5-turbo,,0.62,0.87,0.29,0.09,0.72,template1
,23,132,10,,random_target,gpt-3.5-turbo,,0.83,0.84,0.01,0.16,0.84,template1
,24,200,1,,true_label,text-davinci-003,,0.78,0.78,0.0,0.22,0.78,template1
,25,201,1,,space,text-davinci-003,,0.75,0.75,0.0,0.25,0.74,template1
,26,202,1,,random_target,text-davinci-003,,0.75,0.75,0.0,0.25,0.75,template1
,27,210,3,,true_label,text-davinci-003,,0.83,0.83,0.0,0.17,0.83,template1
,28,211,3,,space,text-davinci-003,,0.8,0.8,0.0,0.2,0.8,template1
,29,212,3,,random_target,text-davinci-003,,0.79,0.79,0.0,0.21,0.79,template1
,30,220,5,,true_label,text-davinci-003,,0.82,0.82,0.0,0.18,0.82,template1
,31,221,5,,space,text-davinci-003,,0.83,0.83,0.0,0.17,0.82,template1
,32,222,5,,random_target,text-davinci-003,,0.81,0.81,0.0,0.19,0.81,template1
,33,230,10,,true_label,text-davinci-003,,0.85,0.86,0.01,0.14,0.86,template1
,34,231,10,,space,text-davinci-003,,0.8,0.8,0.0,0.2,0.8,template1
,35,232,10,,random_target,text-davinci-003,,0.81,0.81,0.0,0.19,0.81,template1
,36,300,1,,true_label,text-curie-001,,0.6,0.61,0.02,0.38,0.6,template1
,37,301,1,,space,text-curie-001,,0.59,0.7,0.16,0.25,0.64,template1
,38,302,1,,random_target,text-curie-001,,0.73,0.73,0.0,0.27,0.73,template1
,39,310,3,,true_label,text-curie-001,,0.71,0.72,0.01,0.28,0.71,template1
,40,311,3,,space,text-curie-001,,0.57,0.7,0.19,0.24,0.63,template1
,41,312,3,,random_target,text-curie-001,,0.65,0.66,0.01,0.34,0.66,template1
,42,320,5,,true_label,text-curie-001,,0.64,0.64,0.0,0.36,0.63,template1
,43,321,5,,space,text-curie-001,,0.53,0.69,0.23,0.24,0.6,template1
,44,322,5,,random_target,text-curie-001,,0.6,0.6,0.0,0.4,0.6,template1
,45,330,10,,true_label,text-curie-001,,0.74,0.74,0.0,0.26,0.73,template1
,46,331,10,,space,text-curie-001,,0.39,0.63,0.38,0.23,0.49,template1
,47,332,10,,random_target,text-curie-001,,0.64,0.64,0.0,0.36,0.64,template1
,48,1000,1,,true_label,gpt-4-0314,,0.75,0.83,0.1,0.15,0.79,template2
,49,1001,1,,space,gpt-4-0314,,0.4,0.6,0.33,0.27,0.47,template2
,50,1002,1,,random_target,gpt-4-0314,,0.76,0.84,0.1,0.14,0.8,template2
,51,1010,3,,true_label,gpt-4-0314,,0.85,0.86,0.01,0.14,0.86,template2
,52,1011,3,,space,gpt-4-0314,,0.53,0.63,0.16,0.31,0.58,template2
,53,1012,3,,random_target,gpt-4-0314,,0.8,0.82,0.02,0.18,0.81,template2
,54,1020,5,,true_label,gpt-4-0314,,0.85,0.86,0.01,0.14,0.86,template2
,55,1021,5,,space,gpt-4-0314,,0.56,0.63,0.11,0.33,0.6,template2
,56,1022,5,,random_target,gpt-4-0314,,0.84,0.84,0.0,0.16,0.84,template2
,57,1030,10,,true_label,gpt-4-0314,,0.84,0.84,0.0,0.16,0.84,template2
,58,1031,10,,space,gpt-4-0314,,0.66,0.76,0.13,0.21,0.71,template2
,59,1032,10,,random_target,gpt-4-0314,,0.85,0.85,0.0,0.15,0.85,template2
,60,1100,1,,true_label,gpt-3.5-turbo,,0.79,0.83,0.05,0.16,0.81,template2
,61,1101,1,,space,gpt-3.5-turbo,,0.68,0.75,0.09,0.23,0.71,template2
,62,1102,1,,random_target,gpt-3.5-turbo,,0.77,0.8,0.04,0.19,0.79,template2
,63,1110,3,,true_label,gpt-3.5-turbo,,0.77,0.81,0.05,0.18,0.79,template2
,64,1111,3,,space,gpt-3.5-turbo,,0.76,0.81,0.06,0.18,0.79,template2
,65,1112,3,,random_target,gpt-3.5-turbo,,0.77,0.79,0.03,0.2,0.78,template2
,66,1120,5,,true_label,gpt-3.5-turbo,,0.79,0.81,0.03,0.18,0.8,template2
,67,1121,5,,space,gpt-3.5-turbo,,0.72,0.8,0.1,0.18,0.76,template2
,68,1122,5,,random_target,gpt-3.5-turbo,,0.84,0.87,0.03,0.13,0.85,template2
,69,1130,10,,true_label,gpt-3.5-turbo,,0.79,0.8,0.01,0.2,0.8,template2
,70,1131,10,,space,gpt-3.5-turbo,,0.77,0.83,0.07,0.16,0.8,template2
,71,1132,10,,random_target,gpt-3.5-turbo,,0.79,0.8,0.01,0.2,0.8,template2
,72,1200,1,,true_label,text-davinci-003,,0.8,0.8,0.0,0.2,0.8,template2
,73,1201,1,,space,text-davinci-003,,0.74,0.74,0.0,0.26,0.72,template2
,74,1202,1,,random_target,text-davinci-003,,0.76,0.76,0.0,0.24,0.76,template2
,75,1210,3,,true_label,text-davinci-003,,0.88,0.88,0.0,0.12,0.88,template2
,76,1211,3,,space,text-davinci-003,,0.78,0.78,0.0,0.22,0.77,template2
,77,1212,3,,random_target,text-davinci-003,,0.87,0.87,0.0,0.13,0.87,template2
,78,1220,5,,true_label,text-davinci-003,,0.84,0.84,0.0,0.16,0.84,template2
,79,1221,5,,space,text-davinci-003,,0.79,0.8,0.01,0.2,0.79,template2
,80,1222,5,,random_target,text-davinci-003,,0.84,0.84,0.0,0.16,0.84,template2
,81,1230,10,,true_label,text-davinci-003,,0.82,0.82,0.0,0.18,0.82,template2
,82,1231,10,,space,text-davinci-003,,0.7,0.8,0.13,0.17,0.72,template2
,83,1232,10,,random_target,text-davinci-003,,0.82,0.82,0.0,0.18,0.82,template2
,84,1300,1,,true_label,text-curie-001,,0.58,0.59,0.01,0.41,0.58,template2
,85,1301,1,,space,text-curie-001,,0.51,0.67,0.24,0.25,0.58,template2
,86,1302,1,,random_target,text-curie-001,,0.62,0.63,0.02,0.36,0.62,template2
,87,1310,3,,true_label,text-curie-001,,0.64,0.64,0.0,0.36,0.65,template2
,88,1311,3,,space,text-curie-001,,0.49,0.64,0.23,0.28,0.55,template2
,89,1312,3,,random_target,text-curie-001,,0.6,0.6,0.0,0.4,0.6,template2
,90,1320,5,,true_label,text-curie-001,,0.71,0.71,0.0,0.29,0.72,template2
,91,1321,5,,space,text-curie-001,,0.41,0.59,0.3,0.29,0.48,template2
,92,1322,5,,random_target,text-curie-001,,0.64,0.64,0.0,0.36,0.65,template2
,93,1330,10,,true_label,text-curie-001,,0.64,0.64,0.0,0.36,0.65,template2
,94,1331,10,,space,text-curie-001,,0.31,0.55,0.44,0.25,0.37,template2
,95,1332,10,,random_target,text-curie-001,,0.62,0.62,0.0,0.38,0.63,template2
,96,2000,1,,true_label,gpt-4-0314,,0.83,0.84,0.01,0.16,0.84,template3
,97,2001,1,,space,gpt-4-0314,,0.52,0.8,0.35,0.13,0.62,template3
,98,2002,1,,random_target,gpt-4-0314,,0.82,0.83,0.01,0.17,0.83,template3
,99,2010,3,,true_label,gpt-4-0314,,0.88,0.88,0.0,0.12,0.88,template3
,100,2011,3,,space,gpt-4-0314,,0.51,0.62,0.18,0.31,0.57,template3
,101,2012,3,,random_target,gpt-4-0314,,0.86,0.87,0.01,0.13,0.87,template3
,102,2020,5,,true_label,gpt-4-0314,,0.89,0.89,0.0,0.11,0.89,template3
,103,2021,5,,space,gpt-4-0314,,0.56,0.64,0.13,0.31,0.6,template3
,104,2022,5,,random_target,gpt-4-0314,,0.9,0.9,0.0,0.1,0.9,template3
,105,2030,10,,true_label,gpt-4-0314,,0.88,0.88,0.0,0.12,0.88,template3
,106,2031,10,,space,gpt-4-0314,,0.54,0.68,0.2,0.26,0.61,template3
,107,2032,10,,random_target,gpt-4-0314,,0.87,0.87,0.0,0.13,0.87,template3
,108,2100,1,,true_label,gpt-3.5-turbo,,0.84,0.86,0.02,0.14,0.85,template3
,109,2101,1,,space,gpt-3.5-turbo,,0.8,0.82,0.02,0.18,0.81,template3
,110,2102,1,,random_target,gpt-3.5-turbo,,0.85,0.85,0.0,0.15,0.85,template3
,111,2110,3,,true_label,gpt-3.5-turbo,,0.83,0.84,0.01,0.16,0.84,template3
,112,2111,3,,space,gpt-3.5-turbo,,0.83,0.89,0.07,0.1,0.86,template3
,113,2112,3,,random_target,gpt-3.5-turbo,,0.82,0.83,0.01,0.17,0.83,template3
,114,2120,5,,true_label,gpt-3.5-turbo,,0.86,0.86,0.0,0.14,0.86,template3
,115,2121,5,,space,gpt-3.5-turbo,,0.83,0.85,0.02,0.15,0.84,template3
,116,2122,5,,random_target,gpt-3.5-turbo,,0.83,0.83,0.0,0.17,0.83,template3
,117,2130,10,,true_label,gpt-3.5-turbo,,0.84,0.84,0.0,0.16,0.84,template3
,118,2131,10,,space,gpt-3.5-turbo,,0.8,0.88,0.09,0.11,0.83,template3
,119,2132,10,,random_target,gpt-3.5-turbo,,0.83,0.83,0.0,0.17,0.83,template3
,120,2200,1,,true_label,text-davinci-003,,0.78,0.78,0.0,0.22,0.78,template3
,121,2201,1,,space,text-davinci-003,,0.78,0.78,0.0,0.22,0.78,template3
,122,2202,1,,random_target,text-davinci-003,,0.81,0.81,0.0,0.19,0.81,template3
,123,2210,3,,true_label,text-davinci-003,,0.81,0.81,0.0,0.19,0.81,template3
,124,2211,3,,space,text-davinci-003,,0.77,0.78,0.01,0.22,0.78,template3
,125,2212,3,,random_target,text-davinci-003,,0.83,0.83,0.0,0.17,0.83,template3
,126,2220,5,,true_label,text-davinci-003,,0.82,0.82,0.0,0.18,0.82,template3
,127,2221,5,,space,text-davinci-003,,0.75,0.82,0.09,0.16,0.78,template3
,128,2222,5,,random_target,text-davinci-003,,0.82,0.82,0.0,0.18,0.82,template3
,129,2230,10,,true_label,text-davinci-003,,0.81,0.81,0.0,0.19,0.81,template3
,130,2231,10,,space,text-davinci-003,,0.63,0.83,0.24,0.13,0.71,template3
,131,2232,10,,random_target,text-davinci-003,,0.82,0.82,0.0,0.18,0.82,template3
,132,2300,1,,true_label,text-curie-001,,0.58,0.58,0.0,0.42,0.58,template3
,133,2301,1,,space,text-curie-001,,0.24,0.6,0.6,0.16,0.33,template3
,134,2302,1,,random_target,text-curie-001,,0.52,0.53,0.01,0.47,0.53,template3
,135,2310,3,,true_label,text-curie-001,,0.55,0.56,0.01,0.44,0.55,template3
,136,2311,3,,space,text-curie-001,,0.12,0.67,0.82,0.06,0.2,template3
,137,2312,3,,random_target,text-curie-001,,0.6,0.6,0.0,0.4,0.6,template3
,138,2320,5,,true_label,text-curie-001,,0.63,0.63,0.0,0.37,0.63,template3
,139,2321,5,,space,text-curie-001,,0.03,1.0,0.97,0.0,0.06,template3
,140,2322,5,,random_target,text-curie-001,,0.56,0.57,0.01,0.43,0.57,template3
,141,2330,10,,true_label,text-curie-001,,0.65,0.65,0.0,0.35,0.66,template3
,142,2331,10,,space,text-curie-001,,0.0,0.0,0.98,0.02,0.0,template3
,143,2332,10,,random_target,text-curie-001,,0.63,0.64,0.01,0.36,0.64,template3
